Species,X,Y,Response
Crotalus triseriatus,-99.213247,19.149742,1
Crotalus triseriatus,-99.303274,19.305815,1
Crotalus triseriatus,-99.49729,19.292185,1
Crotalus triseriatus,-99.650726,19.195497,1
Crotalus triseriatus,-99.224122,19.255581,1
Crotalus triseriatus,-99.266506,19.212757,1
Crotalus triseriatus,-99.243585,19.171688,1
Crotalus triseriatus,-99.180929,19.145889,1
Crotalus triseriatus,-99.164414,19.104922,1
Crotalus triseriatus,-99.296986,19.304988,1
Crotalus triseriatus,-99.204309,19.13746,1
Crotalus triseriatus,-99.254334,19.211499,1
Crotalus triseriatus,-99.993813,19.194255,1
Crotalus triseriatus,-99.441206,19.25336,1
Crotalus triseriatus,-99.93262,19.221437,1
Crotalus triseriatus,-99.197423,19.131245,1
Crotalus triseriatus,-98.650063,19.119958,1
Crotalus triseriatus,-98.651016,19.135508,1
Crotalus triseriatus,-99.161536,19.117741,1
Crotalus triseriatus,-97.111519,19.616668,1
Crotalus triseriatus,-100.026244,19.322433,1
Crotalus triseriatus,-99.289325,19.218648,1
Crotalus triseriatus,-99.713805,19.226748,1
Crotalus triseriatus,-99.312745,19.256826,1
Crotalus triseriatus,-99.235565,19.173469,1
Crotalus triseriatus,-99.693804,19.185139,1
Crotalus triseriatus,-99.220548,19.257412,1
Crotalus triseriatus,-99.647899,19.816247,1
Crotalus triseriatus,-99.276772,19.220305,1
Crotalus triseriatus,-99.099541,19.10721,1
Crotalus triseriatus,-99.097743,19.152371,1
Crotalus triseriatus,-98.649065,19.092695,1
Crotalus triseriatus,-99.092336,19.144,1
Crotalus triseriatus,-99.266254,19.220245,1
Crotalus triseriatus,-99.245241,19.253713,1
Crotalus triseriatus,-99.097652,19.090751,1
Crotalus triseriatus,-99.501779,19.292017,1
Crotalus triseriatus,-99.311042,19.257047,1
Crotalus triseriatus,-99.136584,19.094158,1
Crotalus triseriatus,-99.18829,19.125694,1
Crotalus triseriatus,-99.298496,19.307492,1
Crotalus triseriatus,-99.29841,19.309149,1
Crotalus triseriatus,-99.330347,19.272667,1
Crotalus triseriatus,-99.555507,19.545483,1
Crotalus triseriatus,-99.215834,19.252625,1
Crotalus triseriatus,-97.527167,19.736534,1
Crotalus triseriatus,-99.284051,19.215216,1
Crotalus triseriatus,-100.21093,19.595653,1
Crotalus triseriatus,-99.268006,19.212451,1
Crotalus triseriatus,-99.285473,19.313063,1
Crotalus triseriatus,-98.728906,19.484583,1
Crotalus triseriatus,-99.546913,19.151046,1
Crotalus triseriatus,-98.966165,19.1089,1
Crotalus triseriatus,-98.977389,19.115025,1
Crotalus triseriatus,-99.558041,19.219184,1
Crotalus triseriatus,-98.714011,19.415223,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.259803,19.101708,1
Crotalus triseriatus,-99.738774,19.446464,1
Crotalus triseriatus,-99.210175,19.09381,1
Crotalus triseriatus,-99.959612,19.214228,1
Crotalus triseriatus,-99.530735,19.220809,1
Crotalus triseriatus,-99.42875,19.425637,1
Crotalus triseriatus,-99.322425,19.232703,1
Crotalus triseriatus,-99.446595,19.53344,1
Crotalus triseriatus,-99.217767,19.247104,1
Crotalus triseriatus,-99.216479,19.249058,1
Crotalus triseriatus,-99.397422,19.330253,1
Crotalus triseriatus,-99.344168,19.766071,1
Crotalus triseriatus,-99.418953,19.088573,1
Crotalus triseriatus,-99.323307,19.272142,1
Crotalus triseriatus,-97.151232,19.479704,1
Crotalus triseriatus,-98.649174,19.124119,1
Crotalus triseriatus,-97.119195,19.571651,1
Crotalus triseriatus,-99.698189,19.312831,1
Crotalus triseriatus,-99.700454,19.313565,1
Crotalus triseriatus,-97.529299,19.718177,1
Crotalus triseriatus,-99.214878,19.2488,1
Crotalus triseriatus,-98.72732,19.513376,1
Crotalus triseriatus,-99.695194,19.310835,1
Crotalus triseriatus,-97.255639,18.997102,1
Crotalus triseriatus,-99.893288,19.204388,1
Crotalus triseriatus,-99.696172,19.310998,1
Crotalus triseriatus,-99.696172,19.310998,1
Crotalus triseriatus,-99.220162,19.244387,1
Crotalus triseriatus,-99.371485,19.279546,1
Crotalus triseriatus,-99.399867,19.318689,1
Crotalus triseriatus,-99.293738,19.27082,1
Crotalus triseriatus,-99.361263,19.293984,1
Crotalus triseriatus,-99.106245,19.112192,1
Crotalus triseriatus,-99.69032,19.407578,1
Crotalus triseriatus,-99.312309,19.053972,1
Crotalus triseriatus,-97.529874,19.718304,1
Crotalus triseriatus,-99.283294,19.316219,1
Crotalus triseriatus,-99.277775,19.216353,1
Crotalus triseriatus,-99.218671,19.109754,1
Crotalus triseriatus,-98.993881,19.116552,1
Crotalus triseriatus,-99.637751,19.047125,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-97.164801,19.482913,1
Crotalus triseriatus,-99.257123,19.213006,1
Crotalus triseriatus,-97.094525,19.629172,1
Crotalus triseriatus,-99.26858,19.212657,1
Crotalus triseriatus,-99.193912,19.148641,1
Crotalus triseriatus,-99.500444,19.286033,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-99.401722,19.319804,1
Crotalus triseriatus,-97.15275,19.477928,1
Crotalus triseriatus,-99.636556,19.810419,1
Crotalus triseriatus,-99.133744,19.043895,1
Crotalus triseriatus,-99.02845,19.262005,1
Crotalus triseriatus,-97.234843,19.003046,1
Crotalus triseriatus,-99.454677,19.247467,1
Crotalus triseriatus,-99.340588,19.332858,1
Crotalus triseriatus,-99.206937,19.18535,1
Crotalus triseriatus,-99.171853,19.148129,1
Crotalus triseriatus,-99.849835,19.265696,1
Crotalus triseriatus,-99.257112,19.209753,1
Crotalus triseriatus,-97.342935,19.707963,1
Crotalus triseriatus,-99.557198,19.218654,1
Crotalus triseriatus,-99.706075,19.313675,1
Crotalus triseriatus,-99.213317,19.193519,1
Crotalus triseriatus,-98.607292,19.096992,1
Crotalus triseriatus,-99.213317,19.193519,1
Crotalus triseriatus,-99.286196,19.313593,1
Crotalus triseriatus,-99.594778,19.241278,1
Crotalus triseriatus,-99.223032,19.246336,1
Crotalus triseriatus,-99.339547,19.168513,1
Crotalus triseriatus,-99.147942,19.087689,1
Crotalus triseriatus,-99.148492,19.087056,1
Crotalus triseriatus,-99.251726,19.216706,1
Crotalus triseriatus,-98.716256,19.413552,1
Crotalus triseriatus,-99.736506,19.368885,1
Crotalus triseriatus,-99.224307,19.247585,1
Crotalus triseriatus,-99.736506,19.368885,1
Crotalus triseriatus,-99.57071,19.182756,1
Crotalus triseriatus,-99.861298,19.357321,1
Crotalus triseriatus,-99.451452,19.247581,1
Crotalus triseriatus,-99.452331,19.247819,1
Crotalus triseriatus,-99.454058,19.246312,1
Crotalus triseriatus,-99.453788,19.246519,1
Crotalus triseriatus,-99.863304,19.355736,1
Crotalus triseriatus,-99.345816,19.749058,1
Crotalus triseriatus,-99.28998,19.258548,1
Crotalus triseriatus,-99.237,19.212142,1
Crotalus triseriatus,-99.695175,19.156389,1
Crotalus triseriatus,-99.083921,19.147312,1
Crotalus triseriatus,-99.23281,19.208657,1
Crotalus triseriatus,-99.146072,19.087964,1
Crotalus triseriatus,-99.897432,19.175852,1
Crotalus triseriatus,-99.216513,19.098916,1
Crotalus triseriatus,-99.327826,19.316049,1
Crotalus triseriatus,-98.612151,19.084972,1
Crotalus triseriatus,-99.702951,19.30988,1
